NVDA,TSLA,AAPL,AMD,GOOGL
0.31829,1.53,11.4,6.52,13.12
0.32586,1.53,11.47,6.71,13.25
0.3332,1.61,11.61,6.96,13.24
0.3504,1.62,11.75,7.21,13.3
0.35533,1.65,11.87,7.34,13.56
0.35452,1.72,12.09,7.2,13.66
0.34719,1.72,12.43,6.92,13.66
0.33824,1.73,12.48,6.74,13.66
0.33171,1.72,12.44,6.48,13.48
0.30981,1.71,12.13,6.12,13.01
0.31623,1.76,12.21,6.17,13.14
0.31692,1.7,12.17,6.4,13.29
0.31737,1.75,12.06,6.49,13.48
0.30774,1.64,11.99,6.15,13.22
0.30018,1.61,11.79,5.31,13.19
0.28688,1.63,11.51,5.08,12.87
0.27082,1.58,11.31,4.53,12.39
0.29582,1.58,11.25,4.72,12.55
0.30637,1.69,11.42,4.83,12.62
0.31852,1.8,11.39,4.85,12.87
0.32448,1.8,11.17,4.73,12.88
0.33893,1.86,11.74,4.84,13.43
0.33526,1.84,12.09,4.86,13.58
0.33503,1.85,12.14,4.93,13.71
0.35452,1.86,12.33,4.97,13.97
0.36049,1.87,12.74,4.92,14.79
0.3426,1.83,12.68,4.67,14.56
0.35498,1.89,12.75,4.83,14.76
0.34787,1.84,12.04,4.73,14.51
0.33045,1.82,11.94,4.54,14.59
0.33205,1.87,11.86,4.72,14.76
0.34443,1.9,12.25,5.06,14.91
0.33136,1.88,12.01,4.91,14.58
0.33526,1.87,12.1,5.1,14.66
0.34971,1.92,12.22,5.54,14.96
0.35773,1.99,12.23,5.94,15.0
0.33939,1.96,12.22,5.83,14.81
0.32242,1.93,11.97,5.3,14.46
0.3168,1.91,12.0,5.46,14.62
0.33595,2.16,12.17,5.73,14.93
0.33985,2.15,12.09,5.67,14.9
0.33801,2.08,12.07,5.68,15.21
0.34581,2.12,12.27,5.75,15.31
0.32838,2.06,11.94,5.38,15.02
0.33182,2.09,11.63,5.66,14.87
0.34352,2.24,11.61,5.95,15.21
0.33687,2.21,11.45,5.79,15.32
0.34122,2.26,11.74,5.76,15.41
0.33434,2.33,11.62,5.68,15.28
0.32242,2.25,11.4,5.44,15.02
0.31944,2.17,11.32,5.47,14.87
0.33549,2.12,11.14,5.42,14.52
